id;name;ticker;type;region
1;vortals Keyboard;connect bricks-and-clicks Account;BOND;RUS
2;Cloned;Vision-oriented grey Implemented;SHARE;OTHERS
3;withdrawal;Ohio;FUND;OTHERS
4;initiative compress;open-source user-centric;SHARE;USA
5;Intranet Baby Missouri;Gardens;FUND;OTHERS
6;Pants Marshall Markets;Checking;FUND;USA
7;cyan override Bedfordshire;Wooden Steel;SHARE;OTHERS
8;programming;quantify;FUND;RUS
9;modular;Steel;BOND;OTHERS
10;invoice Shirt magnetic;human-resource Soap neural-net;SHARE;RUS
